,Top/economy/coronabusiness,Top/technologies,Top/economy/coronacrisis,Top/society,Top/science/existeddrugs,Top/politics/healthcarepolicy/education,Top/technologies/developingofequipment,Top/health/illness,Top/economy/crisis,Top/health/dissemination,Top/politics/healthcarepolicy/safetysteps,Top/economy/coronaimport,Top/politics/healthcarepolicy/quarntine_strengthening,Top/science/developingnewdrugs,Top/health,Top/health/recover,Top/politics/healthcarepolicy/entertaiment,Top/science/developingvaccine,Top/events/onlinetransformed,Top/politics/healthcarepolicy,Top/politics,Top/society/potentialdeath,Top/events/coronacanceledevents,Top/society/potentialdeathhisteria,Top/society/death,Top/events,Top/economy,Top/politics/healthcarepolicy/transport,Top/society/familytroubles,Top/science,Top/coronavirus,Top/economy/coronajobloss,Top/politics/criminal,Top/society/producthisteria,start_period,end_period
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-03,2020-03-03
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-04,2020-03-04
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-05,2020-03-05
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020-03-06,2020-03-06
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-07,2020-03-07
5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2020-03-08,2020-03-08
6,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2020-03-09,2020-03-09
7,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2020-03-10,2020-03-10
8,0.0,0.0,3.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2020-03-11,2020-03-11
9,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,9.0,3.0,2.0,0.0,2.0,7.0,1.0,0.0,0.0,2020-03-12,2020-03-12
