,Top/economy/coronaimport,Top/politics/criminal,Top/events/onlinetransformed,Top/society/producthisteria,Top/events/coronacanceledevents,Top/economy/crisis,Top/coronavirus,Top/events,Top/economy/coronajobloss,Top/politics,Top/science/developingnewdrugs,Top/economy,Top/health/illness,Top/politics/healthcarepolicy/education,Top/society,Top/science,Top/society/potentialdeath,Top/society/death,Top/politics/healthcarepolicy,Top/health/recover,Top/society/familytroubles,Top/science/existeddrugs,Top/politics/healthcarepolicy/quarntine_strengthening,Top/technologies/developingofequipment,Top/politics/healthcarepolicy/entertaiment,Top/economy/coronabusiness,Top/economy/coronacrisis,Top/technologies,Top/science/developingvaccine,Top/politics/healthcarepolicy/safetysteps,Top/health,Top/society/potentialdeathhisteria,Top/health/dissemination,Top/politics/healthcarepolicy/transport,start_period,end_period
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-03,2020-03-06
1,0.0,0.0,0.0,1.0,0.0,5.0,8.0,9.0,0.0,3.0,0.0,8.0,1.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2020-03-07,2020-03-10
2,0.0,0.0,0.0,0.0,4.0,5.0,23.0,38.0,1.0,27.0,0.0,5.0,4.0,3.0,18.0,2.0,1.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,3.0,10.0,1.0,0.0,4.0,2020-03-11,2020-03-14
3,1.0,4.0,4.0,2.0,3.0,16.0,50.0,37.0,9.0,21.0,0.0,15.0,3.0,6.0,27.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,12.0,1.0,18.0,1.0,9.0,1.0,1.0,11.0,20.0,0.0,2.0,17.0,2020-03-15,2020-03-18
4,6.0,0.0,3.0,2.0,2.0,24.0,64.0,23.0,7.0,10.0,3.0,18.0,5.0,5.0,24.0,8.0,3.0,9.0,10.0,6.0,1.0,0.0,3.0,1.0,6.0,3.0,10.0,1.0,4.0,11.0,18.0,3.0,2.0,17.0,2020-03-19,2020-03-22
5,6.0,3.0,4.0,1.0,1.0,45.0,104.0,31.0,18.0,14.0,0.0,35.0,20.0,3.0,38.0,10.0,3.0,16.0,16.0,14.0,4.0,2.0,19.0,6.0,8.0,3.0,20.0,5.0,1.0,18.0,25.0,3.0,7.0,16.0,2020-03-23,2020-03-26
6,7.0,0.0,4.0,6.0,2.0,32.0,103.0,42.0,12.0,9.0,2.0,17.0,18.0,0.0,39.0,12.0,1.0,11.0,5.0,20.0,1.0,3.0,11.0,7.0,5.0,0.0,12.0,4.0,0.0,17.0,43.0,3.0,8.0,13.0,2020-03-27,2020-03-30
7,8.0,8.0,4.0,3.0,4.0,53.0,194.0,81.0,19.0,24.0,0.0,28.0,35.0,2.0,82.0,14.0,5.0,28.0,22.0,27.0,1.0,12.0,22.0,3.0,28.0,2.0,26.0,12.0,4.0,40.0,74.0,6.0,8.0,24.0,2020-03-31,2020-04-03
8,9.0,5.0,7.0,0.0,11.0,42.0,204.0,149.0,23.0,58.0,2.0,30.0,31.0,5.0,115.0,22.0,5.0,28.0,13.0,25.0,0.0,10.0,39.0,3.0,29.0,2.0,17.0,25.0,0.0,45.0,78.0,5.0,14.0,26.0,2020-04-04,2020-04-07
9,8.0,4.0,3.0,3.0,9.0,38.0,130.0,78.0,10.0,24.0,2.0,23.0,15.0,4.0,45.0,9.0,4.0,16.0,16.0,12.0,2.0,5.0,20.0,3.0,15.0,0.0,16.0,27.0,1.0,31.0,46.0,2.0,4.0,9.0,2020-04-08,2020-04-11
